ID,NAME,all_ids
6925,ahmedabubakar,"{44865, 16995, 6916, 28163, 34985, 6925, 13103, 42159, 7925, 28054, 13369, 12795}"
6925,ahmadabubakr,{6925}
6925,khalfanahmed,{6925}
6925,aliahmedkhalfan,"{6925, 23924, 6916}"
6925,ahmedabubakarkhalfan,"{44865, 16995, 6916, 28163, 34985, 6925, 13103, 42159, 7925, 28054, 13369, 12795}"
6925,ghailaniahmed,{6925}
6925,altanzaniahmad,{6925}
6925,ghailaniabubakarykhalfanahmed,{6925}
6925,husseinmahafudhabubakarahmedabdallah,{6925}
6925,mohammedshariffomar,"{44929, 30087, 21387, 6924, 6925, 6927, 10898, 6935, 15008, 8867, 45093, 32174, 12592, 23625, 15831, 45015, 29019, 11748, 25062, 30961, 9593, 9595, 46076, 9597}"
6926,salwwansamir,{6926}
6927,fazulabdallah,{6927}
6927,fazulabdalla,{6927}
6927,fazulabdallahmohammed,{6927}
6927,mohammedfazulabdilahi,"{44929, 30087, 21387, 6924, 6925, 6927, 10898, 6935, 15008, 8867, 45093, 32174, 12592, 23625, 15831, 45015, 29019, 11748, 25062, 30961, 9593, 9595, 46076, 9597}"
6927,adballahfazul,{6927}
6927,abdallafazul,"{6368, 39297, 17185, 12868, 17509, 37416, 7852, 6927, 9935, 9329, 12562, 37430, 15414, 6907}"
6927,mohammedfazul,"{44929, 30087, 21387, 6924, 6925, 6927, 10898, 6935, 15008, 8867, 45093, 32174, 12592, 23625, 15831, 45015, 29019, 11748, 25062, 30961, 9593, 9595, 46076, 9597}"
6927,fazulharoon,{6927}
6927,fazulharun,{6927}
6927,muhamadfadilabdallah,"{47460, 16101, 23625, 21387, 13357, 6927, 32151, 28028}"
6927,harounfadhil,{6927}
6927,aishaabu,{6927}
6927,luqmanabu,{6927}
6927,alifadelabdallahmohammed,{6927}
6927,mohammedfouad,"{44929, 30087, 21387, 6924, 6925, 6927, 10898, 6935, 15008, 8867, 45093, 32174, 12592, 23625, 15831, 45015, 29019, 11748, 25062, 30961, 9593, 9595, 46076, 9597}"
6931,yasinabdulrahmansaid,"{7928, 15010, 6931}"
6931,yasinaboud,"{7928, 15010, 6931}"
6931,tahaabdulrahmans,"{25474, 6931, 34955, 29850}"
6931,taherabdulrahmans,"{25474, 6931, 34955, 29850}"
6935,armyofmohammed,{6935}
6935,mohammedsarmy,"{44929, 30087, 21387, 6924, 6925, 6927, 10898, 6935, 15008, 8867, 45093, 32174, 12592, 23625, 15831, 45015, 29019, 11748, 25062, 30961, 9593, 9595, 46076, 9597}"
6935,tehrikulfurqaan,"{7140, 20360, 12206, 19950, 6935}"
6935,jaishemohammed,{6935}
6935,khudamulislam,{6935}
6935,khuddamulislam,{6935}
6935,kuddameislami,{6935}
6936,societyofislamiccooperation,{6936}
6936,jamiyataltaawunalislamiyya,"{10923, 7149, 9334, 6936, 19679}"
6936,jit,{6936}
6938,saiyidabdalmanam,{6938}
6939,alhamatimuhammad,{6939}
6939,alahdalmuhammadmuhummadabdullah,{6939}
6939,alahdalmohamedmohamedabdullah,{6939}
6940,aminmuhammad,"{6940, 30525}"
6940,ahhaqdramin,{6940}
6940,ulhaqdramin,{6940}
6941,aljadawisaqar,"{12146, 6941}"
6941,aljaddawsaqr,"{12146, 6941}"
6946,ayadishafiqbenmuhammad,{6946}
6946,ayadichafikbenmuhammad,{6946}
6946,aiadibenmuhammad,{6946}
6946,aiadybenmuhammad,{6946}
6948,hijaziraedm,"{27323, 6948, 28445}"
6948,alhawenabuahmad,{6948}
6948,almaghribirashid,{6948}
6948,alamrikiabuahmad,"{6948, 12823}"
6948,alshahidabuahmad,{6948}
6950,alfilistiniabuqatada,"{6950, 12919}"
6950,takfiriabuumr,{6950}
6950,abuumarabuomar,{6950}
6950,uthmanalsamman,{6950}
6950,umarabuumar,"{35059, 16221, 6950}"
6950,uthmanumar,{6950}
7006,alisheikhhassandahiraweys,"{11744, 23924, 7006}"
7006,awesshaykhhassandahir,"{11744, 7006}"
7114,alaqsaalislamibank,"{7114, 7916, 7637, 7638, 7639, 7640, 7641, 7642, 7643, 7644, 7645}"
7115,arabpalestinianbeitelmalcompany,{7115}
7115,beitalmalholdings,{7115}
7115,beitelmalalphalastinialarabialmushimaalaamaalmahadudaltd,{7115}
7115,palestinianarabbeitelmalcorporationltd,"{4707, 4708, 4709, 7911, 7115, 10412, 7917, 7918, 47350}"
7116,occupiedlandfund,{7116}
